ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
1	A	11/18/1999	74.5	"Agilent Technologies, Inc."	NYSE	"Biotechnology: Laboratory Analytical Instruments"	"Capital Goods"
2	AA	1/2/1998	89.65	"Alcoa Inc."	NYSE	"Metal Fabrications"	"Capital Goods"
3	AAN	4/30/2007	35.67	"Aaron's,  Inc."	NYSE	"Diversified Commercial Services"	"Technology"
4	AAON	1/2/1998	21.03	"AAON, Inc."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
5	AAP	11/29/2001	57.24	"Advance Auto Parts Inc"	NYSE	"Other Specialty Stores"	"Consumer Services"
6	AAPL	1/2/1998	119.21	"Apple Inc."	NASDAQ	"Computer Manufacturing"	"Technology"
7	AAT	1/13/2011	12.17	"American Assets Trust, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
8	AAWW	5/31/2006	29.6	"Atlas Air Worldwide Holdings"	NASDAQ	"Transportation Services"	"Transportation"
9	ABAX	1/2/1998	34.07	"ABAXIS, Inc."	NASDAQ	"Industrial Machinery/Components"	"Capital Goods"
10	ABBV	1/2/2013	16.14	"AbbVie Inc."	NYSE	"Major Pharmaceuticals"	"Health Care"
11	ABC	8/30/2001	66.21	"AmerisourceBergen Corporation (Holding Co)"	NYSE	"Other Pharmaceuticals"	"Health Care"
12	ABCB	1/2/1998	14.37	"Ameris Bancorp"	NASDAQ	"Major Banks"	"Finance"
13	ABCD	12/9/2009	2.94	"Cambium Learning Group, Inc."	NASDAQ	"Publishing"	"Consumer Services"
14	ABCO	11/13/2001	31.9	"The Advisory Board Company"	NASDAQ	"Other Consumer Services"	"Consumer Services"
15	ABG	5/10/2002	38.13	"Asbury Automotive Group Inc"	NYSE	"Automotive Aftermarket"	"Consumer Durables"
16	ABM	1/2/1998	43.11	"ABM Industries Incorporated"	NYSE	"Diversified Commercial Services"	"Finance"
17	ABMD	1/2/1998	39.22	"ABIOMED, Inc."	NASDAQ	"Medical/Dental Instruments"	"Health Care"
18	ABR	5/6/2004	21.91	"Arbor Realty Trust"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
19	ABT	1/2/1998	86.37	"Abbott Laboratories"	NYSE	"Major Pharmaceuticals"	"Health Care"
20	ACAD	5/27/2004	31.62	"ACADIA Pharmaceuticals Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
21	ACAS	1/2/1998	64.18	"American Capital, Ltd."	NASDAQ	""	""
22	ACAT	1/2/1998	28.79	"Arctic Cat Inc."	NASDAQ	"Industrial Specialties"	"Capital Goods"
23	ACC	8/16/2004	39.89	"American Campus Communities Inc"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
24	ACCO	8/17/2005	35.39	"Acco Brands Corporation"	NYSE	"Publishing"	"Consumer Durables"
25	ACET	1/2/1998	24.99	"Aceto Corporation"	NASDAQ	"Other Pharmaceuticals"	"Health Care"
26	ACFN	9/25/2006	8.1	"Acorn Energy, Inc."	NASDAQ	"Computer Peripherals"	"Technology"
27	ACGL	5/9/2000	44.86	"Arch Capital Group Ltd."	NASDAQ	"Property-Casualty Insurers"	"Finance"
28	ACHC	11/1/2011	13.95	"Acadia Healthcare Company, Inc."	NASDAQ	"Medical Specialities"	"Health Care"
29	ACHN	11/9/2006	23.42	"Achillion Pharmaceuticals, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
30	ACIW	7/25/2007	28.66	"ACI Worldwide, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
31	ACLS	7/11/2000	48.07	"Axcelis Technologies, Inc."	NASDAQ	"Industrial Machinery/Components"	"Technology"
32	ACM	5/10/2007	37.02	"AECOM"	NYSE	"Military/Government/Technical"	"Consumer Services"
33	ACN	7/19/2001	64.56	"Accenture plc"	NYSE	"Business Services"	"Miscellaneous"
